restaurant_id,roll_id,price
1,1,6.5
2,1,6.19
3,1,7
4,1,8
5,1,8.25
8,1,7
9,1,5.95
10,1,6
12,1,6.99
13,1,7.25
14,1,7
15,1,5.75
16,1,5.34
17,1,7
18,1,6.95
19,1,6
20,1,8
1,2,16.99
2,2,15.49
3,2,15
4,2,14
5,2,19.55
6,2,10.5
8,2,18
9,2,12.95
10,2,18
12,2,10.99
13,2,14.5
14,2,14
15,2,11.95
16,2,11.51
17,2,14
18,2,13.95
19,2,14
20,2,14
1,3,9
2,3,6.99
3,3,10
4,3,10
5,3,9.6
8,3,8
9,3,6.5
10,3,7
12,3,6.99
13,3,8
14,3,8
15,3,6.5
16,3,5.51
17,3,7
19,3,7
1,4,11
2,4,9.29
3,4,12
4,4,16
5,4,18.45
8,4,11
9,4,8.95
10,4,13
11,4,19
13,4,15
14,4,11
15,4,10.95
16,4,8.09
17,4,16
18,4,9.95
19,4,9
1,5,8
2,5,6.99
3,5,10
4,5,13
5,5,10.8
8,5,8
9,5,6.95
10,5,7
12,5,7.5
13,5,8.5
14,5,10
15,5,7
16,5,5.85
17,5,8
19,5,7
20,5,8
1,6,16.99
2,6,14.49
3,6,29
4,6,16
5,6,15.85
6,6,11.5
9,6,11.95
12,6,10.99
13,6,15
14,6,13
15,6,11.95
16,6,11.51
17,6,14
18,6,13.95
19,6,15
1,7,17.99
2,7,15.49
3,7,16
4,7,18
9,7,12.95
10,7,18
11,7,16
12,7,6.99
13,7,14.5
14,7,19
15,7,14.5
17,7,16
19,7,15
20,7,16
